GO_Term,count,PValue,Genes,List_total,Fold_enrichment
GO:0022603~regulation of anatomical structure morphogenesis,18,0.046909149,"7132, 51738, 5286, 7037, 28514, 1000, 114798, 182, 1512, 2277, 50674, 5468, 8536, 947, 57715, 10501, 718, 5617",181,1.638382953
GO:1901342~regulation of vasculature development,9,0.057770611,"51738, 1512, 5286, 2277, 28514, 5468, 947, 718, 5617",181,2.154510319
GO:0008015~blood circulation,10,0.063369742,"6916, 51738, 5286, 1401, 1674, 5972, 28514, 5468, 947, 1824",181,1.995662725
GO:0003013~circulatory system process,10,0.070036977,"6916, 51738, 5286, 1401, 1674, 5972, 28514, 5468, 947, 1824",181,1.955457066
GO:1903522~regulation of blood circulation,4,0.460963875,"6916, 51738, 1674, 1824",181,1.570116997
GO:1905952~regulation of lipid localization,10,8.10E-05,"5360, 9388, 51738, 84417, 1401, 22925, 336, 5972, 5468, 718",181,5.560831031
GO:0010876~lipid localization,14,6.04E-04,"9388, 5360, 51738, 8542, 22925, 5972, 2760, 84417, 1401, 3929, 336, 5468, 718, 140606",181,3.101143944
GO:0032368~regulation of lipid transport,8,6.33E-04,"5360, 9388, 51738, 84417, 22925, 336, 5972, 5468",181,5.51060417
GO:0035930~corticosteroid hormone secretion,4,9.34E-04,"51738, 84417, 5972, 140606",181,20.33675349
GO:0032370~positive regulation of lipid transport,6,0.00132267,"5360, 9388, 51738, 84417, 22925, 5468",181,7.363307297
GO:0060986~endocrine hormone secretion,5,0.001714372,"51738, 84417, 5972, 5468, 140606",181,9.7061778
GO:0035929~steroid hormone secretion,4,0.001764767,"51738, 84417, 5972, 140606",181,16.42583935
GO:0006869~lipid transport,12,0.002611752,"5360, 9388, 51738, 8542, 84417, 22925, 3929, 336, 5972, 2760, 5468, 140606",181,2.945322919
GO:0035933~glucocorticoid secretion,3,0.007294192,"51738, 84417, 140606",181,22.87884767
GO:0044060~regulation of endocrine process,4,0.008464462,"51738, 84417, 5972, 5468",181,9.49048496
GO:0050886~endocrine process,5,0.010772069,"51738, 84417, 5972, 5468, 140606",181,5.802606294
GO:2000846~regulation of corticosteroid hormone secretion,3,0.011968321,"51738, 84417, 5972",181,17.7946593
GO:0051047~positive regulation of secretion,9,0.012389139,"51738, 84417, 3479, 22925, 85477, 5468, 947, 10972, 5617",181,2.91185334
GO:0046903~secretion,18,0.013898499,"7132, 7032, 51738, 5286, 22925, 5972, 3164, 5618, 332, 10516, 84417, 3479, 85477, 5468, 947, 10972, 5617, 140606",181,1.895289156
GO:0060612~adipose tissue development,4,0.016095835,"22976, 51738, 5468, 140606",181,7.492488126
GO:2000831~regulation of steroid hormone secretion,3,0.016130088,"51738, 84417, 5972",181,15.25256511
GO:0051046~regulation of secretion,13,0.023256013,"7132, 7032, 51738, 22925, 5972, 332, 84417, 3479, 85477, 5468, 947, 10972, 5617",181,2.071617053
GO:0015850~organic hydroxy compound transport,8,0.026017413,"5360, 9388, 51738, 84417, 336, 5972, 5468, 140606",181,2.76421892
GO:0002791~regulation of peptide secretion,7,0.074067616,"51738, 332, 84417, 3479, 5468, 947, 10972",181,2.37262124
GO:0032940~secretion by cell,13,0.109392422,"7132, 51738, 5286, 5972, 3164, 332, 84417, 3479, 85477, 5468, 947, 10972, 140606",181,1.606462298
GO:0046879~hormone secretion,6,0.16684457,"51738, 332, 84417, 5972, 5468, 140606",181,2.053229919
GO:0009914~hormone transport,6,0.194418753,"51738, 332, 84417, 5972, 5468, 140606",181,1.953072362
GO:1903530~regulation of secretion by cell,9,0.20265519,"7132, 51738, 332, 84417, 3479, 5972, 5468, 947, 10972",181,1.590913249
GO:0046883~regulation of hormone secretion,5,0.212942569,"51738, 332, 84417, 5972, 5468",181,2.093489329
GO:0002790~peptide secretion,7,0.214631678,"51738, 332, 84417, 3479, 5468, 947, 10972",181,1.734050326
GO:0023061~signal release,7,0.247872967,"51738, 332, 84417, 5972, 5468, 3164, 140606",181,1.649835962
GO:0046887~positive regulation of hormone secretion,3,0.372151432,"51738, 84417, 5468",181,2.30434437
GO:0010817~regulation of hormone levels,7,0.404307932,"51738, 332, 84417, 9159, 5972, 5468, 140606",181,1.361340056
GO:0090276~regulation of peptide hormone secretion,3,0.555376754,"51738, 332, 84417",181,1.609567173
GO:0030072~peptide hormone secretion,3,0.672618386,"51738, 332, 84417",181,1.296776791
GO:1905954~positive regulation of lipid localization,7,6.36E-04,"5360, 9388, 51738, 84417, 22925, 5468, 718",181,6.672997238
GO:0034375~high-density lipoprotein particle remodeling,3,0.009502022,"5360, 9388, 336",181,20.01899171
GO:1905953~negative regulation of lipid localization,4,0.024640975,"1401, 22925, 336, 5468",181,6.374206316
GO:0034368~protein-lipid complex remodeling,3,0.031640477,"5360, 9388, 336",181,10.67679558
GO:0034369~plasma lipoprotein particle remodeling,3,0.031640477,"5360, 9388, 336",181,10.67679558
GO:0034367~macromolecular complex remodeling,3,0.035645054,"5360, 9388, 336",181,10.00949586
GO:0032371~regulation of sterol transport,4,0.041213283,"5360, 9388, 336, 5468",181,5.208192966
GO:0032374~regulation of cholesterol transport,4,0.041213283,"5360, 9388, 336, 5468",181,5.208192966
GO:0032373~positive regulation of sterol transport,3,0.051059197,"5360, 9388, 5468",181,8.212919677
GO:0032376~positive regulation of cholesterol transport,3,0.051059197,"5360, 9388, 5468",181,8.212919677
GO:0071827~plasma lipoprotein particle organization,3,0.068396789,"5360, 9388, 336",181,6.963127552
GO:0071825~protein-lipid complex subunit organization,3,0.076339785,"5360, 9388, 336",181,6.53681362
GO:0030301~cholesterol transport,4,0.109486211,"5360, 9388, 336, 5468",181,3.444127606
GO:0033344~cholesterol efflux,3,0.132203779,"5360, 336, 5468",181,4.710350991
GO:0015918~sterol transport,4,0.146783441,"5360, 9388, 336, 5468",181,3.007548051
GO:0097006~regulation of plasma lipoprotein particle levels,3,0.194445732,"5360, 9388, 336",181,3.681653648
GO:0015711~organic anion transport,5,0.710253275,"5360, 22925, 336, 11254, 5468",181,1.036582095
GO:0006820~anion transport,6,0.728024256,"5360, 8542, 22925, 336, 11254, 5468",181,0.985550361
GO:0046942~carboxylic acid transport,3,0.858023715,"22925, 11254, 5468",181,0.875147179
GO:0015849~organic acid transport,3,0.860102957,"22925, 11254, 5468",181,0.870390944
GO:0001818~negative regulation of cytokine production,10,0.010189634,"51738, 3479, 3929, 336, 1001, 28514, 6504, 947, 9173, 11326",181,2.773193657
GO:0001816~cytokine production,16,0.014615948,"51738, 9865, 22925, 28514, 9173, 1401, 3479, 3929, 336, 567, 1001, 6504, 947, 10972, 718, 11326",181,1.988693007
GO:0001817~regulation of cytokine production,16,0.020375226,"51738, 9865, 22925, 28514, 9173, 1401, 3479, 3929, 336, 567, 1001, 6504, 947, 10972, 718, 11326",181,1.908700886
GO:0001819~positive regulation of cytokine production,9,0.123854165,"22925, 3929, 336, 567, 6504, 947, 10972, 9173, 718",181,1.80962637
GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,5,7.90E-05,"3479, 3489, 3488, 1001, 3486",181,21.35359116
GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,4,2.12E-04,"3479, 3488, 1001, 3486",181,32.85167871
GO:0048009~insulin-like growth factor receptor signaling pathway,4,0.010109966,"3479, 3488, 1001, 3486",181,8.89732965
GO:0014812~muscle cell migration,4,0.081742985,"3479, 3488, 3486, 2660",181,3.918090121
GO:0033002~muscle cell proliferation,5,0.187716716,"3479, 3488, 3486, 2660, 5468",181,2.215102817
GO:0014910~regulation of smooth muscle cell migration,3,0.214830082,"3479, 3488, 3486",181,3.444127606
GO:0048659~smooth muscle cell proliferation,4,0.223496558,"3479, 3488, 3486, 5468",181,2.440410418
GO:0014909~smooth muscle cell migration,3,0.225097495,"3479, 3488, 3486",181,3.336498619
GO:0048660~regulation of smooth muscle cell proliferation,4,0.233297432,"3479, 3488, 3486, 5468",181,2.385876107
GO:0010941~regulation of cell death,28,0.008895941,"51738, 8575, 8793, 3486, 28514, 3164, 5618, 3958, 332, 1512, 117584, 355, 3479, 2026, 57048, 2861, 85477, 4869, 7132, 9212, 5133, 22925, 7037, 2683, 1075, 28960, 5468, 947",181,1.662682293
GO:0060548~negative regulation of cell death,19,0.011226542,"9212, 51738, 8793, 5133, 7037, 28514, 3164, 5618, 3958, 1512, 332, 355, 117584, 3479, 2026, 2861, 28960, 947, 4869",181,1.894109393
GO:0008219~cell death,32,0.017146047,"51738, 8575, 8793, 3486, 28514, 3164, 1082, 5618, 3958, 332, 1512, 117584, 83999, 355, 3479, 2026, 57048, 2861, 85477, 4869, 7132, 9212, 5133, 22925, 7037, 22827, 2683, 1075, 84957, 28960, 5468, 947",181,1.513768093
GO:0043067~regulation of programmed cell death,25,0.019979505,"51738, 8575, 8793, 3486, 28514, 3164, 5618, 3958, 332, 1512, 117584, 355, 3479, 57048, 85477, 4869, 7132, 9212, 5133, 22925, 7037, 2683, 1075, 28960, 5468",181,1.611835082
GO:0006915~apoptotic process,28,0.023137599,"51738, 8575, 8793, 3486, 28514, 3164, 1082, 5618, 3958, 332, 1512, 117584, 83999, 355, 3479, 57048, 85477, 4869, 7132, 9212, 5133, 22925, 7037, 22827, 2683, 1075, 84957, 5468",181,1.535440556
GO:0042981~regulation of apoptotic process,24,0.027670509,"7132, 9212, 51738, 8575, 8793, 5133, 22925, 7037, 28514, 2683, 3486, 1075, 3164, 5618, 3958, 1512, 332, 355, 117584, 3479, 57048, 85477, 5468, 4869",181,1.582724484
GO:0012501~programmed cell death,29,0.034435055,"51738, 8575, 8793, 3486, 28514, 3164, 1082, 5618, 3958, 332, 1512, 117584, 83999, 355, 3479, 57048, 85477, 4869, 7132, 9212, 5133, 22925, 7037, 22827, 2683, 1075, 84957, 28960, 5468",181,1.467426881
GO:0043069~negative regulation of programmed cell death,16,0.038024454,"9212, 51738, 8793, 5133, 7037, 28514, 3164, 5618, 3958, 1512, 332, 355, 117584, 3479, 28960, 4869",181,1.759307202
GO:0043065~positive regulation of apoptotic process,12,0.040900807,"7132, 8575, 1512, 355, 5133, 22925, 2683, 3486, 85477, 5468, 1075, 3164",181,1.974137858
GO:0043068~positive regulation of programmed cell death,12,0.044801224,"7132, 8575, 1512, 355, 5133, 22925, 2683, 3486, 85477, 5468, 1075, 3164",181,1.944181289
GO:0043066~negative regulation of apoptotic process,15,0.057418816,"9212, 51738, 8793, 5133, 7037, 28514, 3164, 5618, 3958, 1512, 332, 355, 117584, 3479, 4869",181,1.700126685
GO:0010942~positive regulation of cell death,12,0.071392739,"7132, 8575, 1512, 355, 5133, 22925, 2683, 3486, 85477, 5468, 1075, 3164",181,1.791909748
GO:0071310~cellular response to organic substance,36,0.013296844,"51738, 8575, 5286, 28514, 3164, 1082, 5618, 56975, 1512, 117584, 355, 3479, 140596, 57048, 10990, 4869, 7132, 4360, 7032, 7035, 7037, 5972, 7412, 2660, 26228, 9173, 3567, 3929, 1388, 3488, 567, 28960, 146722, 2277, 6358, 5468",181,1.491519755
GO:0019221~cytokine-mediated signaling pathway,12,0.014933463,"5618, 7132, 7032, 117584, 355, 3567, 146722, 10990, 6358, 5468, 26228, 9173",181,2.312663303
GO:0071345~cellular response to cytokine stimulus,15,0.044795476,"7132, 4360, 7032, 7037, 7412, 26228, 9173, 5618, 355, 117584, 3567, 146722, 10990, 6358, 5468",181,1.763787816
GO:0034097~response to cytokine,15,0.090057256,"7132, 4360, 7032, 7037, 7412, 26228, 9173, 5618, 355, 117584, 3567, 146722, 10990, 6358, 5468",181,1.5840943
GO:0060249~anatomical structure homeostasis,11,0.016127812,"51052, 9212, 7032, 1512, 7037, 567, 1001, 100134934, 2660, 947, 3183",181,2.411596538
GO:0001894~tissue homeostasis,7,0.032287378,"51052, 7032, 1512, 7037, 567, 1001, 947",181,2.930885061
GO:0048871~multicellular organismal homeostasis,8,0.096614715,"51052, 7032, 1512, 7037, 567, 1001, 28514, 947",181,2.043405853
GO:0007568~aging,9,0.010987377,"9212, 84417, 7037, 22925, 3488, 567, 7412, 1075, 4869",181,2.974958521
GO:0090398~cellular senescence,4,0.0667987,"84417, 22925, 567, 4869",181,4.270718232
GO:0007569~cell aging,4,0.11944613,"84417, 22925, 567, 4869",181,3.310634288
GO:0035821~modification of morphology or physiology of other organism,11,6.60E-05,"3958, 5806, 8542, 1401, 5068, 325, 733, 735, 85363, 5968, 6590",181,5.062273766
GO:0044793~negative regulation by host of viral process,4,0.003231684,"5806, 1401, 325, 85363",181,13.34599448
GO:0046718~viral entry into host cell,6,0.011600688,"4360, 5806, 7037, 325, 6504, 85363",181,4.417984378
GO:0030260~entry into host cell,6,0.012548116,"4360, 5806, 7037, 325, 6504, 85363",181,4.328430641
GO:0044409~entry into host,6,0.012548116,"4360, 5806, 7037, 325, 6504, 85363",181,4.328430641
GO:0051806~entry into cell of other organism involved in symbiotic interaction,6,0.012548116,"4360, 5806, 7037, 325, 6504, 85363",181,4.328430641
GO:0051828~entry into other organism involved in symbiotic interaction,6,0.01293233,"4360, 5806, 7037, 325, 6504, 85363",181,4.299380771
GO:0046597~negative regulation of viral entry into host cell,3,0.022490607,"5806, 325, 85363",181,12.8121547
GO:0044788~modulation by host of viral process,4,0.023695886,"5806, 1401, 325, 85363",181,6.4707852
GO:0051851~modification by host of symbiont morphology or physiology,5,0.033454763,"5806, 8542, 1401, 325, 85363",181,4.106459839
GO:0051702~interaction with symbiont,5,0.037627288,"5806, 8542, 1401, 325, 85363",181,3.954368733
GO:0051817~modification of morphology or physiology of other organism involved in symbiotic interaction,5,0.037627288,"5806, 8542, 1401, 325, 85363",181,3.954368733
GO:0051701~interaction with host,6,0.043832033,"4360, 5806, 7037, 325, 6504, 85363",181,3.109746285
GO:0043901~negative regulation of multi-organism process,6,0.045428079,"5806, 1401, 3479, 325, 85363, 6590",181,3.079844879
GO:0048525~negative regulation of viral process,5,0.055011383,"5806, 1401, 325, 85363, 6590",181,3.489148882
GO:0046596~regulation of viral entry into host cell,3,0.095907018,"5806, 325, 85363",181,5.719711918
GO:1903901~negative regulation of viral life cycle,4,0.101764012,"5806, 325, 85363, 6590",181,3.55893186
GO:0043900~regulation of multi-organism process,8,0.157142982,"5806, 1401, 3479, 325, 2683, 85363, 132141, 6590",181,1.794419425
GO:0019058~viral life cycle,7,0.211690028,"4360, 5806, 7037, 325, 6504, 85363, 6590",181,1.742134477
GO:0044764~multi-organism cellular process,11,0.225345845,"4360, 5806, 8542, 8575, 1401, 7037, 325, 6039, 6504, 85363, 6590",181,1.448147366
"GO:0044403~symbiosis, encompassing mutualism through parasitism",11,0.247609151,"4360, 5806, 8542, 8575, 1401, 7037, 325, 6039, 6504, 85363, 6590",181,1.41329424
GO:0044419~interspecies interaction between organisms,11,0.254438774,"4360, 5806, 8542, 8575, 1401, 7037, 325, 6039, 6504, 85363, 6590",181,1.403163099
GO:0016032~viral process,10,0.312502196,"4360, 5806, 8575, 1401, 7037, 325, 6039, 6504, 85363, 6590",181,1.356644928
GO:1903900~regulation of viral life cycle,4,0.3314813,"5806, 325, 85363, 6590",181,1.950099649
GO:0050792~regulation of viral process,5,0.333567998,"5806, 1401, 325, 85363, 6590",181,1.705558399
"GO:0043903~regulation of symbiosis, encompassing mutualism through parasitism",5,0.36104553,"5806, 1401, 325, 85363, 6590",181,1.637545334
GO:0002456~T cell mediated immunity,6,0.007212488,"1512, 567, 1075, 6504, 182, 925",181,4.965951433
GO:0001913~T cell mediated cytotoxicity,3,0.101736004,"1512, 567, 1075",181,5.522480472
GO:0001909~leukocyte mediated cytotoxicity,4,0.142462003,"1512, 567, 1075, 26228",181,3.050513023
GO:0030890~positive regulation of B cell proliferation,3,0.068396789,"5618, 7037, 3567",181,6.963127552
GO:0030888~regulation of B cell proliferation,3,0.132203779,"5618, 7037, 3567",181,4.710350991
GO:0042100~B cell proliferation,3,0.245731077,"5618, 7037, 3567",181,3.140233994
GO:0050807~regulation of synapse organization,7,0.006700204,"51738, 7087, 1000, 78999, 8536, 114798, 139065",181,4.175283188
GO:0050803~regulation of synapse structure or activity,7,0.007823713,"51738, 7087, 1000, 78999, 8536, 114798, 139065",181,4.039868598
GO:0051963~regulation of synapse assembly,5,0.019583593,"51738, 7087, 78999, 114798, 139065",181,4.8530889
GO:1905606~regulation of presynapse assembly,3,0.046444828,"78999, 114798, 139065",181,8.656861281
GO:0007416~synapse assembly,5,0.094788754,"51738, 1000, 78999, 114798, 139065",181,2.885620427
GO:0051965~positive regulation of synapse assembly,3,0.125951314,"51738, 114798, 139065",181,4.8530889
GO:0050808~synapse organization,7,0.136125493,"51738, 7087, 1000, 78999, 8536, 114798, 139065",181,1.993001842
GO:0051962~positive regulation of nervous system development,7,0.422591105,"51738, 411, 50674, 5468, 8536, 114798, 139065",181,1.334599448
GO:0046427~positive regulation of JAK-STAT cascade,5,0.01201365,"5618, 7132, 3479, 3567, 5617",181,5.619366095
GO:1904894~positive regulation of STAT cascade,5,0.013343499,"5618, 7132, 3479, 3567, 5617",181,5.447344684
GO:1904892~regulation of STAT cascade,6,0.019286167,"5618, 7132, 3479, 3567, 5468, 5617",181,3.88247112
GO:0097696~STAT cascade,6,0.034721177,"5618, 7132, 3479, 3567, 5468, 5617",181,3.319211061
GO:0046425~regulation of JAK-STAT cascade,5,0.057168661,"5618, 7132, 3479, 3567, 5617",181,3.444127606
GO:0007259~JAK-STAT cascade,5,0.077077333,"5618, 7132, 3479, 3567, 5617",181,3.103719645
GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,4,0.255756866,"7132, 3479, 3567, 26228",181,2.271658634
GO:0018108~peptidyl-tyrosine phosphorylation,5,0.295784852,"5618, 7132, 3479, 3567, 26228",181,1.80962637
GO:0018212~peptidyl-tyrosine modification,5,0.300447014,"5618, 7132, 3479, 3567, 26228",181,1.791408654
GO:0050730~regulation of peptidyl-tyrosine phosphorylation,4,0.432431106,"7132, 3479, 3567, 26228",181,1.655317144
GO:0002520~immune system development,20,0.005980029,"22976, 5133, 7037, 7412, 28514, 182, 9173, 338339, 56975, 3567, 325, 567, 84787, 1397, 85477, 5468, 6504, 5657, 947, 925",181,1.971707402
GO:0030099~myeloid cell differentiation,11,0.007527414,"56975, 7037, 3567, 325, 567, 28514, 85477, 5468, 182, 5657, 9173",181,2.712349916
GO:0002521~leukocyte differentiation,13,0.014991471,"7037, 7412, 28514, 9173, 338339, 56975, 3567, 325, 567, 5468, 6504, 5657, 925",181,2.206650915
GO:0030097~hemopoiesis,17,0.021330729,"7037, 7412, 28514, 182, 9173, 338339, 56975, 3567, 325, 567, 1397, 85477, 5468, 6504, 5657, 947, 925",181,1.8483251
GO:0002573~myeloid leukocyte differentiation,7,0.023834257,"56975, 7037, 3567, 325, 5468, 5657, 9173",181,3.153483927
GO:0048534~hematopoietic or lymphoid organ development,17,0.029913357,"7037, 7412, 28514, 182, 9173, 338339, 56975, 3567, 325, 567, 1397, 85477, 5468, 6504, 5657, 947, 925",181,1.772514891
GO:0045637~regulation of myeloid cell differentiation,6,0.05785689,"3567, 325, 567, 28514, 85477, 182",181,2.872680425
GO:0045639~positive regulation of myeloid cell differentiation,3,0.259529414,"3567, 85477, 182",181,3.021734598
GO:0030098~lymphocyte differentiation,6,0.375857906,"338339, 567, 7412, 28514, 6504, 925",181,1.482888275
GO:1903706~regulation of hemopoiesis,6,0.465694661,"3567, 325, 567, 28514, 85477, 182",181,1.331824812
GO:1903708~positive regulation of hemopoiesis,3,0.654959234,"3567, 85477, 182",181,1.340183546
GO:0044057~regulation of system process,15,7.73E-04,"7132, 7032, 51738, 5972, 2660, 1075, 3164, 6916, 84417, 3479, 1674, 3488, 336, 5468, 1824",181,2.86497198
GO:1901700~response to oxygen-containing compound,30,0.00127509,"51738, 5286, 5068, 5069, 3164, 6590, 10516, 1512, 3479, 2026, 140596, 336, 57048, 2861, 4327, 4360, 7037, 5972, 7412, 2660, 182, 26228, 51052, 6916, 3929, 3488, 567, 28960, 5468, 5968",181,1.860068916
GO:0009725~response to hormone,17,0.007365955,"51738, 7035, 5286, 5068, 5069, 5972, 2660, 3164, 1082, 51052, 5618, 1512, 3488, 336, 5468, 4327, 5968",181,2.088671172
GO:1901652~response to peptide,12,0.010340061,"51052, 51738, 5286, 3479, 5068, 3488, 7412, 2660, 5468, 182, 3164, 5968",181,2.440410418
GO:0003012~muscle system process,11,0.011530524,"7132, 127294, 51738, 5286, 3479, 1674, 3488, 2660, 5468, 3164, 1824",181,2.542094186
GO:0090257~regulation of muscle system process,8,0.011582471,"7132, 51738, 3479, 3488, 2660, 5468, 3164, 1824",181,3.260090253
GO:1901698~response to nitrogen compound,17,0.044432464,"51738, 8575, 5286, 5068, 7412, 5972, 2660, 182, 3164, 51052, 3479, 3488, 567, 5468, 4327, 5968, 4869",181,1.68372472
GO:0010243~response to organonitrogen compound,15,0.049364937,"51738, 5286, 5068, 7412, 5972, 2660, 182, 3164, 51052, 3479, 3488, 567, 5468, 4327, 5968",181,1.738891788
GO:0043434~response to peptide hormone,9,0.051364785,"51052, 51738, 5286, 5068, 3488, 2660, 5468, 3164, 5968",181,2.208992189
GO:0051602~response to electrical stimulus,3,0.065814056,"51738, 2660, 3164",181,7.11786372
GO:0032870~cellular response to hormone stimulus,10,0.130394466,"5618, 51738, 1512, 7035, 5286, 5972, 2660, 5468, 3164, 1082",181,1.708287293
GO:1901701~cellular response to oxygen-containing compound,16,0.148333542,"4360, 51738, 5286, 7412, 2660, 3164, 26228, 3479, 140596, 3929, 3488, 2861, 567, 57048, 28960, 5468",181,1.428333857
GO:1901653~cellular response to peptide,7,0.148547827,"51738, 5286, 3479, 7412, 2660, 5468, 3164",181,1.95137256
GO:1901699~cellular response to nitrogen compound,11,0.151893058,"51738, 8575, 5286, 3479, 3488, 567, 7412, 2660, 5468, 3164, 4869",181,1.591392295
GO:0009719~response to endogenous stimulus,21,0.198685023,"51738, 7035, 5286, 5068, 5069, 7412, 5972, 2660, 182, 3164, 1082, 51052, 5618, 1512, 3479, 3488, 336, 567, 5468, 4327, 5968",181,1.28121547
GO:0014070~response to organic cyclic compound,13,0.203755625,"8575, 7035, 5069, 7412, 5972, 2660, 2026, 3488, 336, 567, 5468, 4327, 4869",181,1.416309618
GO:0071417~cellular response to organonitrogen compound,9,0.207474731,"51738, 5286, 3479, 3488, 567, 7412, 2660, 5468, 3164",181,1.580446714
GO:0071375~cellular response to peptide hormone stimulus,5,0.335679647,"51738, 5286, 2660, 5468, 3164",181,1.700126685
GO:0032868~response to insulin,4,0.480304636,"51052, 5286, 2660, 5468",181,1.530723381
GO:0071495~cellular response to endogenous stimulus,14,0.532222987,"51738, 7035, 5286, 7412, 5972, 2660, 3164, 1082, 5618, 1512, 3479, 3488, 567, 5468",181,1.077686648
GO:0032869~cellular response to insulin stimulus,3,0.597471127,"5286, 2660, 5468",181,1.48978543
GO:0050673~epithelial cell proliferation,14,5.48E-04,"51738, 5068, 2683, 3486, 3164, 332, 3479, 3488, 567, 2277, 1001, 5468, 947, 5617",181,3.133650694
GO:0050678~regulation of epithelial cell proliferation,12,0.002066427,"51738, 332, 3479, 5068, 567, 2277, 1001, 2683, 5468, 182, 3164, 5617",181,3.036055615
GO:0050679~positive regulation of epithelial cell proliferation,7,0.019392447,"51738, 3479, 5068, 2277, 1001, 2683, 3164",181,3.306972082
GO:0050680~negative regulation of epithelial cell proliferation,5,0.086525078,"51738, 567, 2683, 5468, 5617",181,2.982345134
GO:0001936~regulation of endothelial cell proliferation,5,0.097024539,"51738, 2277, 5468, 3164, 5617",181,2.854758177
GO:0002040~sprouting angiogenesis,5,0.097024539,"51738, 5286, 2277, 28514, 3164",181,2.854758177
GO:0001937~negative regulation of endothelial cell proliferation,3,0.167713015,"51738, 5468, 5617",181,4.054479334
GO:0001938~positive regulation of endothelial cell proliferation,3,0.290582037,"51738, 2277, 3164",181,2.785251021
GO:0016525~negative regulation of angiogenesis,3,0.515662814,"51738, 5468, 5617",181,1.731372256
GO:2000181~negative regulation of blood vessel morphogenesis,3,0.524857241,"51738, 5468, 5617",181,1.703743976
GO:1901343~negative regulation of vasculature development,3,0.561048346,"51738, 5468, 5617",181,1.593551579
GO:0032720~negative regulation of tumor necrosis factor production,5,0.006356233,"51738, 3479, 3929, 6504, 947",181,6.757465557
GO:1903556~negative regulation of tumor necrosis factor superfamily cytokine production,5,0.006938317,"51738, 3479, 3929, 6504, 947",181,6.590614556
GO:0002793~positive regulation of peptide secretion,6,0.024125246,"51738, 84417, 3479, 5468, 947, 10972",181,3.660615627
GO:0050714~positive regulation of protein secretion,5,0.05395521,"51738, 3479, 5468, 947, 10972",181,3.512103809
GO:0032640~tumor necrosis factor production,5,0.085185133,"51738, 3479, 3929, 6504, 947",181,2.999099882
GO:0032680~regulation of tumor necrosis factor production,5,0.097024539,"51738, 3479, 3929, 6504, 947",181,2.854758177
GO:1903555~regulation of tumor necrosis factor superfamily cytokine production,5,0.104906964,"51738, 3479, 3929, 6504, 947",181,2.780415516
GO:0071706~tumor necrosis factor superfamily cytokine production,5,0.104906964,"51738, 3479, 3929, 6504, 947",181,2.780415516
GO:0050708~regulation of protein secretion,6,0.127505943,"51738, 332, 3479, 5468, 947, 10972",181,2.247746438
GO:1903532~positive regulation of secretion by cell,6,0.137408967,"51738, 84417, 3479, 5468, 947, 10972",181,2.193862106
GO:0009306~protein secretion,6,0.277494529,"51738, 332, 3479, 5468, 947, 10972",181,1.699224761
GO:0032635~interleukin-6 production,3,0.475107604,"51738, 3929, 6504",181,1.862231787
GO:0032675~regulation of interleukin-6 production,3,0.503286527,"51738, 3929, 6504",181,1.769634627
GO:0033993~response to lipid,19,0.003695043,"4360, 7035, 7037, 5069, 7412, 5972, 2660, 3164, 26228, 6590, 6916, 1512, 2026, 140596, 3929, 336, 567, 57048, 5468",181,2.117527307
GO:0032496~response to lipopolysaccharide,9,0.019820119,"4360, 3929, 567, 57048, 7412, 5972, 3164, 26228, 6590",181,2.669198895
GO:0002237~response to molecule of bacterial origin,9,0.027745791,"4360, 3929, 567, 57048, 7412, 5972, 3164, 26228, 6590",181,2.502373964
GO:0071222~cellular response to lipopolysaccharide,5,0.167269697,"4360, 3929, 567, 57048, 26228",181,2.321042517
GO:0071219~cellular response to molecule of bacterial origin,5,0.195220655,"4360, 3929, 567, 57048, 26228",181,2.178937873
GO:0071396~cellular response to lipid,9,0.23476508,"4360, 7035, 140596, 3929, 567, 57048, 2660, 5468, 26228",181,1.525256511
GO:0071216~cellular response to biotic stimulus,5,0.250343372,"4360, 3929, 567, 57048, 26228",181,1.955457066
GO:1903672~positive regulation of sprouting angiogenesis,3,0.122852665,"51738, 5286, 28514",181,4.927751806
GO:1903670~regulation of sprouting angiogenesis,3,0.372151432,"51738, 5286, 28514",181,2.30434437
GO:0045667~regulation of osteoblast differentiation,7,0.003036081,"56975, 23051, 3479, 3488, 5468, 182, 64093",181,4.916945333
GO:0014743~regulation of muscle hypertrophy,5,0.004576144,"7132, 3479, 3488, 2660, 5468",181,7.414441375
GO:0014741~negative regulation of muscle hypertrophy,4,0.005276727,"7132, 3488, 2660, 5468",181,11.23873219
GO:0030278~regulation of ossification,8,0.007157541,"56975, 23051, 83999, 3479, 3488, 5468, 182, 64093",181,3.573822788
GO:0001649~osteoblast differentiation,8,0.008908811,"56975, 23051, 3479, 3488, 3486, 5468, 182, 3183",181,3.430295769
GO:0014896~muscle hypertrophy,5,0.016275905,"7132, 3479, 3488, 2660, 5468",181,5.133074798
GO:0001503~ossification,10,0.023285996,"56975, 23051, 83999, 3479, 3488, 3486, 5468, 182, 64093, 3183",181,2.410111869
GO:0043500~muscle adaptation,5,0.02882341,"7132, 3479, 3488, 2660, 5468",181,4.305159508
GO:0045669~positive regulation of osteoblast differentiation,4,0.036358813,"56975, 23051, 3479, 182",181,5.475279785
