Proteins,Target name,EntrezGeneID,Uniprot,EntrezGeneIDString
RN141_23286.2,RN141,50862,Q8WVD5,50862
NDUB6_23287.109,NDUB6,4712,O95139,4712
LRC20_23288.28,LRC20,55222,Q8TCA0,55222
NGN1_23289.25,NGN1,4762,Q92886,4762
SMN_23290.3,SMN,6606,Q16637,6606
PCLI1_23291.18,PCLI1,55022,Q7Z2X4,55022
CE112_23292.1,CE112,201134,Q8N8E3,201134
CHAC1_23293.15,CHAC1,79094,Q9BUX1,79094
MLX_23294.19,MLX,6945,Q9UH92,6945
SARP.3_23296.29,SARP-3,6425,Q5T4F7,6425
THEM4_23298.148,THEM4,117145,Q5T1C6,117145
TPPP_23299.52,TPPP,11076,O94811,11076
SDF.1_2330.2,SDF-1,6387,P48061,6387
RBPS2_23300.3,RBPS2,348093,Q6ZRY4,348093
MSX.2_23301.2,MSX-2,4488,P35548,4488
AKTS1_23302.19,AKTS1,84335,Q96B36,84335
TXND9_23303.131,TXND9,10190,O14530,10190
NPS3B_23304.1,NPS3B,55335,Q9BS92,55335
REEP2_23305.38,REEP2,51308,Q9BRK0,51308
PMF1_23306.37,PMF1,100527963,Q6P1K2,100527963
CLUA1_23307.7,CLUA1,23059,Q96AJ1,23059
KCTD1_23308.31,KCTD1,284252,Q719H9,284252
HOP2_23309.11,HOP2,29893,Q9P2W1,29893
RAB38_23310.51,RAB38,23682,P57729,23682
RPP25_23311.19,RPP25,54913,Q9BUL9,54913
RABL3_23312.16,RABL3,285282,Q5HYI8,285282
CC103_23314.46,CC103,388389,Q8IW40,388389
FAM9B_23315.30,FAM9B,171483,Q8IZU0,171483
DHR11_23317.10,DHR11,79154,Q6UWP2,79154
PPCT_23318.60,PPCT,58488,Q9UKL6,58488
ZFN2B_23319.6,ZFN2B,130617,Q8WV99,130617
MB12B_23320.11,MB12B,89853,Q9H7P6,89853
CCD95_23321.42,CCD95,283899,Q8NBZ0,283899
MUSC_23322.2,MUSC,9242,O60682,9242
DUPD1_23323.25,DUPD1,338599,Q68J44,338599
HSPB3_23324.6,HSPB3,8988,Q12988,8988
CP045_23325.18,CP045,89927,Q96MC5,89927
GSTA2_23326.10,GSTA2,2939,P09210,2939
BORC5_23327.1,BORC5,118426,Q969J3,118426
RAB4B_23329.52,RAB4B,53916,P61018,53916
TGF.b1_2333.72,TGF-b1,7040,P01137,7040
CV013_23330.12,CV013,83606,Q96NT3,83606
LCE3C_23334.21,LCE3C,353144,Q5T5A8,353144
F229A_23335.31,F229A,100128071,H3BQW9,100128071
KCNRG_23336.2,KCNRG,283518,Q8N5I3,283518
BACD3_23337.54,BACD3,83892,Q9H3F6,83892
TCF24_23339.46,TCF24,100129654,Q7RTU0,100129654
MTNA_23340.37,MTNA,84245,Q9BV20,84245
DMC1_23341.16,DMC1,11144,Q14565,11144
ARRD5_23342.4,ARRD5,645432,A6NEK1,645432
ROGDI_23343.6,ROGDI,79641,Q9GZN7,79641
NECA1_23345.2,NECA1,64168,Q8N987,64168
PCY1A_23349.5,PCY1A,5130,P49585,5130
F118B_23350.66,F118B,79607,Q9BPY3,79607
ANM1_23351.59,ANM1,3276,Q99873,3276
DTBP1_23352.9,DTBP1,84062,Q96EV8,84062
CRBA2_23354.12,CRBA2,1412,P53672,1412
CCD24_23356.32,CCD24,149473,Q8N4L8,149473
F118A_23358.42,F118A,55007,Q9NWS6,55007
FL2D_23359.25,FL2D,9589,Q15007,9589
RBM4_23361.20,RBM4,5936,Q9BWF3,5936
X5NT1A_23362.26,5NT1A,84618,Q9BXI3,84618
PCBP2_23363.41,PCBP2,5094,Q15366,5094
UCK1_23364.3,UCK1,83549,Q9HA47,83549
FNDC8_23365.7,FNDC8,54752,Q8TC99,54752
UBL7_23366.15,UBL7,84993,Q96S82,84993
ANR40_23367.8,ANR40,91369,Q6AI12,91369
PAHX_23369.17,PAHX,5264,O14832,5264
KCAB3_23370.39,KCAB3,9196,O43448,9196
NIF3L_23371.5,NIF3L,60491,Q9GZT8,60491
ERGI1_23372.112,ERGI1,57222,Q969X5,57222
DPH5_23373.77,DPH5,51611,Q9H2P9,51611
NECA3_23374.42,NECA3,63941,Q96P71,63941
RFPL3_23375.4,RFPL3,10738,O75679,10738
ARPC2_23376.56,ARPC2,10109,O15144,10109
CGBP1_23378.29,CGBP1,8545,Q9UFW8,8545
CP072_23379.60,CP072,29035,Q14CZ0,29035
T3HPD_23380.16,T3HPD,112849,Q96EM0,112849
X1.Sep_23381.8,1-Sep,1731,Q8WYJ6,1731
VCX3_23382.30,VCX3,51481,Q9NNX9,51481
KCD17_23384.19,KCD17,79734,Q8N5Z5,79734
CAST1_23385.18,CAST1,652968,Q8WTX7,652968
TCP2L_23386.38,TCP2L,401285,B9ZVM9,401285
TIPRL_23387.18,TIPRL,261726,O75663,261726
FAH2A_23389.28,FAH2A,51011,Q96GK7,51011
CC107_23390.6,CC107,203260,Q8WV48,203260
XRP2_23391.20,XRP2,6102,O75695,6102
PKHA3_23392.41,PKHA3,65977,Q9HB20,65977
ABHD5_23393.56,ABHD5,51099,Q8WTS1,51099
GAS2_23394.125,GAS2,2620,O43903,2620
KHDR2_23395.5,KHDR2,202559,Q5VWX1,202559
TWF2_23396.21,TWF2,11344,Q6IBS0,11344
GRL1A_23398.1,GRL1A,81488,P0CAP2,81488
NUP53_23399.35,NUP53,129401,Q8NFH5,129401
DAZP1_23401.3,DAZP1,26528,Q96EP5,26528
GD1L1_23402.147,GD1L1,78997,Q96MZ0,78997
BORG4_23403.64,BORG4,23580,Q9H3Q1,23580
MD2L2_23404.16,MD2L2,10459,Q9UI95,10459
HORM2_23405.33,HORM2,150280,Q8N7B1,150280
RASF5_23406.3,RASF5,83593,Q8WWW0,83593
SAST_23407.9,SAST,55301,Q9NV23,55301
Sorting.nexin.16_23408.1,Sorting nexin 16,64089,P57768,64089
SYAP1_23409.83,SYAP1,94056,Q96A49,94056
EIF3M_23410.46,EIF3M,10480,Q7L2H7,10480
PNMA2_23411.108,PNMA2,10687,Q9UL42,10687
ANR45_23413.38,ANR45,339416,Q5TZF3,339416
ZN483_23414.12,ZN483,158399,Q8TF39,158399
Sorting.nexin.15_23416.47,Sorting nexin-15,29907,Q9NRS6,29907
CCD92_23418.66,CCD92,80212,Q53HC0,80212
RFC4_23422.47,RFC4,5984,P35249,5984
ANR63_23424.4,ANR63,100131244,C9JTQ0,100131244
ERMIN_23425.19,ERMIN,57471,Q8TAM6,57471
VCX1_23426.1,VCX1,26609,Q9H320,26609
F151B_23518.7,F151B,167555,Q6UXP7,167555
TM221_23519.91,TM221,100130519,A6NGB7,100130519
YE006_23520.60,YE006,153364,Q68D91,153364
NDK7_23521.29,NDK7,29922,Q9Y5B8,29922
GIMD1_23522.1,GIMD1,100507096,P0DJR0,100507096
FA49A_23523.14,FA49A,81553,Q9H0Q0,81553
NTAN1_23524.2,NTAN1,123803,Q96AB6,123803
NOSIP_23525.27,NOSIP,51070,Q9Y314,51070
KTI12_23526.25,KTI12,112970,Q96EK9,112970
PHIPL_23528.199,PHIPL,84457,Q96FC7,84457
STAR7_23529.11,STAR7,56910,Q9NQZ5,56910
TMOD4_23530.3,TMOD4,29765,Q9NZQ9,29765
HSH2D_23531.79,HSH2D,84941,Q96JZ2,84941
RTF2_23534.27,RTF2,51507,Q9BY42,51507
FA45A_23535.3,FA45A,404636,Q8TCE6,404636
CS084_23536.14,CS084,147646,I3L1E1,147646
SP6_23537.4,SP6,80320,Q3SY56,80320
MAT1_23540.3,MAT1,4331,P51948,4331
CLYBL_23541.61,CLYBL,171425,Q8N0X4,171425
GLP3L_23542.8,GLP3L,55204,Q9H4A5,55204
TRUB1_23543.92,TRUB1,142940,Q8WWH5,142940
TCP10_23544.10,TCP10,6953,Q12799,6953
NDEL1_23545.6,NDEL1,81565,Q9GZM8,81565
HAGHL_23546.9,HAGHL,84264,Q6PII5,84264
TCEA3_23547.21,TCEA3,6920,O75764,6920
KDF1_23550.10,KDF1,126695,Q8NAX2,126695
TADA3_23551.15,TADA3,10474,O75528,10474
ABI3_23553.1,ABI3,51225,Q9P2A4,51225
SHD_23554.2,SHD,56961,Q96IW2,56961
RAD_23555.11,RAD,6236,P55042,6236
VGLL4_23556.4,VGLL4,9686,Q14135,9686
CAPZB_23557.110,CAPZB,832,P47756,832
MET2B_23558.33,MET2B,55798,Q6P1Q9,55798
DDRGK_23559.10,DDRGK,65992,Q96HY6,65992
CEP41_23560.154,CEP41,95681,Q9BYV8,95681
CCD97_23561.4,CCD97,90324,Q96F63,90324
MT21C_23564.83,MT21C,196541,Q5VZV1,196541
ApoL.II_23566.6,ApoL-II,23780,Q9BQE5,23780
GNAQ_23567.37,GNAQ,2776,P50148,2776
MEIS2_23568.41,MEIS2,4212,O14770,4212
STA10_23569.53,STA10,10809,Q9Y365,10809
ZKSC7_23570.87,ZKSC7,55888,Q9P0L1,55888
CCD94_23571.93,CCD94,55702,Q9BW85,55702
TYW3_23572.186,TYW3,127253,Q6IPR3,127253
COX19_23575.58,COX19,90639,Q49B96,90639
BEX4_23576.46,BEX4,56271,Q9NWD9,56271
SMIM3_23578.6,SMIM3,85027,Q9BZL3,85027
KKLC1_23579.3,KKLC1,203413,Q5H943,203413
VEGF.sR3_2358.19,VEGF sR3,2324,P35916,2324
PRR15_23580.2,PRR15,222171,Q8IV56,222171
Obestatin_23581.131,Obestatin,51738,Q9UBU3,51738
NUD15_23584.2,NUD15,55270,Q9NV35,55270
Cancer.testis.antigen.1B_23586.32,Cancer/testis antigen 1B,1485,P78358,1485
HSDL2_23588.9,HSDL2,84263,Q6YN16,84263
PPR27_23589.21,PPR27,116729,Q86WC6,116729
EXD1_23591.9,EXD1,161829,Q8NHP7,161829
M21D2_23593.14,M21D2,151963,Q8IYB1,151963
NR2CA_23594.2,NR2CA,126382,Q86WQ0,126382
LACC1_23595.6,LACC1,144811,Q8IV20,144811
CCD89_23596.17,CCD89,220388,Q8N998,220388
AGFG2_23597.11,AGFG2,3268,O95081,3268
ACO12_23601.43,ACO12,134526,Q8WYK0,134526
NAPEP_23602.35,NAPEP,222236,Q6IQ20,222236
T11L1_23605.3,T11L1,55346,Q9NUJ3,55346
SAM4B_23606.18,SAM4B,55095,Q5PRF9,55095
CP071_23607.1,CP071,146562,Q8IYS4,146562
MALD2_23611.16,MALD2,153562,Q8N4S9,153562
TR112_23615.4,TR112,51504,Q9UI30,51504
PADI1_23616.4,PADI1,29943,Q9ULC6,29943
HYPK_23617.15,HYPK,25764,Q9NX55,25764
ZN593_23618.23,ZN593,51042,O00488,51042
L10K_23619.235,L10K,28974,Q9UNZ5,28974
CPZIP_23620.16,CPZIP,92241,Q6JBY9,92241
TIM13_23621.326,TIM13,26517,Q9Y5L4,26517
SOSSC_23622.128,SOSSC,58493,Q9NRY2,58493
NUD11_23623.48,NUD11,55190,Q96G61,55190
PEN2_23624.34,PEN2,55851,Q9NZ42,55851
K1143_23625.44,K1143,57456,Q96AT1,57456
CF057_23627.3,CF057,135154,Q5VUM1,135154
VMAC_23629.4,VMAC,400673,Q2NL98,400673
GALK2_23631.1,GALK2,2585,Q01415,2585
SLNL1_23632.22,SLNL1,200172,Q499Z3,200172
RNF25_23637.55,RNF25,64320,Q96BH1,64320
CARME_23638.3,CARME,138199,Q8N4J0,138199
PEPL1_23639.93,PEPL1,79716,Q8NDH3,79716
EHD2_23640.10,EHD2,30846,Q9NZN4,30846
DHB4_23643.22,DHB4,3295,P51659,3295
DAK_23644.19,DAK,26007,Q3LXA3,26007
HACL1_23645.49,HACL1,26061,Q9UJ83,26061
AIPL1_23646.5,AIPL1,23746,Q9NZN9,23746
DDI1_23648.36,DDI1,414301,Q8WTU0,414301
KLHL2_23649.6,KLHL2,11275,O95198,11275
Dematin_23650.2,Dematin,2039,Q08495,2039
SOX_23652.15,SOX,51268,Q9P0Z9,51268
ALG2_23654.6,ALG2,85365,Q9H553,85365
PUS7_23656.9,PUS7,54517,Q96PZ0,54517
HNRLL_23657.102,HNRLL,92906,Q8WVV9,92906
SYNM_23658.1,SYNM,79731,Q96I59,79731
BZW2_23659.2,BZW2,28969,Q9Y6E2,28969
KLH41_23660.112,KLH41,10324,O60662,10324
XPP3_23661.61,XPP3,63929,Q9NQH7,63929
X3BP5_23662.10,3BP5,9467,O60239,9467
VATC1_23663.28,VATC1,528,P21283,528
RTKN_23664.17,RTKN,6242,Q9BST9,6242
PRS6A_23665.35,PRS6A,5702,P17980,5702
PUR9_23666.35,PUR9,471,P31939,471
MID51_23668.281,MID51,54471,Q9NQG6,54471
GFPT2_23669.20,GFPT2,9945,O94808,9945
DPH2_23670.11,DPH2,1802,Q9BQC3,1802
SPDLY_23671.11,SPDLY,54908,Q96EA4,54908
PSMD6_23672.10,PSMD6,9861,Q15008,9861
ODB2_23673.9,ODB2,1629,P11182,1629
CEP76_23675.16,CEP76,79959,Q8TAP6,79959
SPN90_23677.30,SPN90,51517,Q9NZQ3,51517
SOX10_23678.132,SOX10,6663,P56693,6663
DCC1_23679.43,DCC1,79075,Q9BVC3,79075
MCPIP_23680.1,MCPIP,80149,Q5D1E8,80149
HENMT_23682.79,HENMT,113802,Q5T8I9,113802
TRI55_23683.79,TRI55,84675,Q9BYV6,84675
M1AP_23685.132,M1AP,130951,Q8TC57,130951
C19L1_23686.44,C19L1,55280,Q69YN2,55280
TBC20_23687.27,TBC20,128637,Q96BZ9,128637
CPNE6_23689.52,CPNE6,9362,O95741,9362
RBM41_23690.228,RBM41,55285,Q96IZ5,55285
TTL12_23691.2,TTL12,23170,Q14166,23170
ACSS3_23692.19,ACSS3,79611,Q9H6R3,79611
MKNK1_23693.4,MKNK1,8569,Q9BUB5,8569
ASNS_23694.3,ASNS,440,P08243,440
FSD1_23695.1,FSD1,79187,Q9BTV5,79187
TRM6_23696.256,TRM6,51605,Q9UJA5,51605
ODO2_23699.61,ODO2,1743,P36957,1743
ABCF3_23700.42,ABCF3,55324,Q9NUQ8,55324
SHKB1_23702.98,SHKB1,92799,Q8TBC3,92799
PDLI5_23703.8,PDLI5,10611,Q96HC4,10611
TMM24_23704.11,TMM24,9854,O14523,9854
PYRG1_23705.42,PYRG1,1503,P17812,1503
TR61B_23706.13,TR61B,55006,Q9BVS5,55006
CK049_23767.1,CK049,79096,Q9H6J7,79096
ATF5_23771.17,ATF5,22809,Q9Y2D1,22809
F110A_23783.22,F110A,83541,Q9BQ89,83541
C5_2381.52,C5,727,P01031,727
GOT2_23903.3,GOT2,2806,P00505,2806
Rab.7_23915.18,Rab-7,7879,P51149,7879
PPM1F_23923.26,PPM1F,9647,P49593,9647
PRRT2_23929.159,PRRT2,112476,Q7Z6L0,112476
CD29_23949.12,CD29,3688,P05556,3688
PA1_23967.8,PA1,79447,Q9BTK6,79447
CBPA1_23981.172,CBPA1,1357,P15085,1357
VS10L_24011.27,VS10L,147645,Q86VR7,147645
GRM4_24013.6,GRM4,2914,Q14833,2914
sEPCR_24023.35,sEPCR,10544,Q9UNN8,10544
IFNE1_24027.32,IFNE1,338376,Q86WN2,338376
GSK.3.beta_24050.26,GSK-3 beta,2932,P49841,2932
CSTF1_24055.44,CSTF1,1477,Q05048,1477
EF1G_24111.10,EF1G,1937,P26641,1937
PTER_24179.48,PTER,9317,Q96BW5,9317
Apo.E_2418.55,Apo E,348,P02649,348
GAGC1_24201.86,GAGC1,9506,O60829,9506
BDNF_2421.7,BDNF,627,P23560,627
HMGCL_24211.25,HMGCL,3155,P35914,3155
PRRX1_24215.8,PRRX1,5396,P54821,5396
AAMDC_24216.30,AAMDC,28971,Q9H7C9,28971
Calgranulin.A_24217.2,Calgranulin A,6279,P05109,6279
PPAR.gamma_24221.3,PPAR gamma,5468,P37231,5468
NELFA_24222.10,NELFA,7469,Q9H3P2,7469
GST2_24223.5,GST2,2953,P0CG29,2953
Fascin_24226.30,Fascin,6624,Q16658,6624
EHD1_24235.2,EHD1,10938,Q9H4M9,10938
VAT1L_24236.46,VAT1L,57687,Q9HCJ6,57687
CACB3_24237.115,CACB3,784,P54284,784
RILP_24244.81,RILP,83547,Q96NA2,83547
KLC3_24245.2,KLC3,147700,Q6P597,147700
CO040_24247.13,CO040,123207,Q8WUR7,123207
RP25L_24251.44,RP25L,138716,Q8N5L8,138716
CL065_24252.85,CL065,91574,Q9H3J6,91574
ERF3B_24253.5,ERF3B,23708,Q8IYD1,23708
EPN1_24255.38,EPN1,29924,Q9Y6I3,29924
KLH40_24256.7,KLH40,131377,Q2TBA0,131377
FOXP4_24259.24,FOXP4,116113,Q8IVH2,116113
SETD3_24260.4,SETD3,84193,Q86TU7,84193
DAPK3_24261.202,DAPK3,1613,O43293,1613
OCLN_24263.6,OCLN,100506658,Q16625,100506658
MPP2_24265.6,MPP2,4355,Q14168,4355
MEF2D_24266.2,MEF2D,4209,Q14814,4209
PWP2B_24267.24,PWP2B,170394,Q6NUJ5,170394
GAB1_24268.21,GAB1,2549,Q13480,2549
GMPPA_24271.9,GMPPA,29926,Q96IJ6,29926
TXND3_24273.43,TXND3,51314,Q8N427,51314
TTC25_24276.171,TTC25,83538,Q96NG3,83538
CPNE7_24277.22,CPNE7,27132,Q9UBL6,27132
UBP3_24278.4,UBP3,9960,Q9Y6I4,9960
UTP6_24279.30,UTP6,55813,Q9NYH9,55813
MEIG1_24286.48,MEIG1,644890,Q5JSS6,644890
CG053_24289.1,CG053,286006,Q8N8F7,286006
C8_2429.27,C8,731|732|733,P07357|P07358|P07360,731|732|733
CT202_24290.5,CT202,400831,A1L168,400831
NLTP.isoform.6_24293.39,NLTP:isoform 6,6342,P22307,6342
CTF8_24294.13,CTF8,54921,P0CG13,54921
CEA16_24299.1,CEA16,388551,Q2WEN9,388551
EFC4B_24304.3,EFC4B,84766,Q9BSW2,84766
KDM8_24307.22,KDM8,79831,Q8N371,79831
synaptotagmin.like.2_24309.14,synaptotagmin-like 2,54843,Q9HCH5,54843
Cathepsin.G_2431.17,Cathepsin G,1511,P08311,1511
TPC13_24314.9,TPC13,80006,A5PLN9,80006
BMT2_24316.10,BMT2,154743,Q1RMZ1,154743
FGD2_24318.13,FGD2,221472,Q7Z6J4,221472
ISPD_24319.19,ISPD,729920,A4D126,729920
TRI72_24320.3,TRI72,493829,Q6ZMU5,493829
NARF_24321.67,NARF,26502,Q9UHQ1,26502
T2EA_24322.1,T2EA,2960,P29083,2960
BROX_24323.43,BROX,148362,Q5VW32,148362
CXCL16..soluble_2436.49,"CXCL16, soluble",58191,Q9H2A7,58191
KIF3C_24407.31,KIF3C,3797,O14782,3797
MBNL1_24408.30,MBNL1,4154,Q9NR56,4154
RDH13_24409.2,RDH13,112724,Q8NBN7,112724
FGF.10_2441.2,FGF-10,2255,O15520,2255
LRSM1_24411.144,LRSM1,90678,Q6UWE0,90678
SYC1L_24412.1,SYC1L,100130958,A8MT33,100130958
NUDT7_24413.96,NUDT7,283927,P0C024,283927
Glycogen.phosphorylase_24414.3,Glycogen phosphorylase,5834,P11216,5834
SND1_24416.20,SND1,27044,Q7KZF4,27044
RABE1_24417.22,RABE1,9135,Q15276,9135
HMX3_24418.14,HMX3,340784,A6NHT5,340784
MOCOS_24419.3,MOCOS,55034,Q96EN8,55034
DOHH_24420.57,DOHH,83475,Q9BU89,83475
SPA24_24422.36,SPA24,202051,Q86W54,202051
PP13G_24423.9,PP13G,648791,B7ZBB8,648791
TBC25_24424.25,TBC25,4943,Q3MII6,4943
SYMC_24425.8,SYMC,4141,P56192,4141
CTNA1_24426.15,CTNA1,1495,P35221,1495
CTNA1_24426.191,CTNA1,1495,P35221,1495
INP4B_24427.33,INP4B,8821,O15327,8821
GDPD1_24428.76,GDPD1,284161,Q8N9F7,284161
FGF.8B_2443.10,FGF-8B,2253,P55075,2253
ZN580_24430.11,ZN580,51157,Q9UK33,51157
CMTR1_24431.32,CMTR1,23070,Q8N1G2,23070
GRAP1_24432.3,GRAP1,56850,Q4V328,56850
PHYIP_24434.16,PHYIP,9796,Q92561,9796
Dynamin_24435.1,Dynamin,1759,Q05193,1759
DLGP4_24436.23,DLGP4,22839,Q9Y2H0,22839
YJEN3_24437.6,YJEN3,374887,A6XGL0,374887
KCTD3_24440.11,KCTD3,51133,Q9Y597,51133
NCBP1_24441.7,NCBP1,4686,Q09161,4686
MO4L2_24443.8,MO4L2,9643,Q15014,9643
TTC27_24444.10,TTC27,55622,Q6P3X3,55622
AF1L2_24445.38,AF1L2,84632,Q8N4X5,84632
MBNL2_24446.65,MBNL2,10150,Q5VZF2,10150
F221A_24447.26,F221A,340277,A4D161,340277
CRGA_24449.11,CRGA,1418,P11844,1418
CS054_24450.96,CS054,284325,Q5BKX5,284325
CCHL_24453.75,CCHL,3052,P53701,3052
MTD2L_24454.27,MTD2L,441024,Q9H903,441024
ASAP3_24455.2,ASAP3,55616,Q8TDY4,55616
VSX1_24456.3,VSX1,30813,Q9NZR4,30813
USF2_24457.12,USF2,7392,Q15853,7392
COPB2_24459.15,COPB2,9276,P35606,9276
CNGB1_24462.4,CNGB1,1258,Q14028,1258
NDRG2_24463.1,NDRG2,57447,Q9UN36,57447
SSX4_24465.28,SSX4,548313,O60224,548313
ADDB_24468.36,ADDB,119,P35612,119
LPIN1_24469.10,LPIN1,23175,Q14693,23175
GIIE_2447.7,GIIE,30814,Q9NZK7,30814
PCBP3_24470.20,PCBP3,54039,P57721,54039
SETBP_24471.2,SETBP,26040,Q9Y6X0,26040
SHRPN_24472.28,SHRPN,81858,Q9H0F6,81858
CT453_24473.11,CT453,441519,Q8NHU0,441519
TTC9A_24474.12,TTC9A,23508,Q92623,23508
SNX12_24475.45,SNX12,29934,Q9UMY4,29934
ASC.1.complex.subunit.p100_24476.18,ASC-1 complex subunit p100,84164,Q9H1I8,84164
T225B_24479.25,T225B,100289187,P0DP42,100289187
BAP31_24485.32,BAP31,10134,P51572,10134
B.cell.CLL.11A_24486.1,B-cell CLL 11A,53335,Q9H165,53335
BL1S3_24487.95,BL1S3,388552,Q6QNY0,388552
HID1_24488.8,HID1,283987,Q8IV36,283987
HES3_24489.34,HES3,390992,Q5TGS1,390992
GV_2449.1,GV,5322,P39877,5322
THAP4_24490.16,THAP4,51078,Q8WY91,51078
MTMR7_24493.10,MTMR7,9108,Q9Y216,9108
KATL1_24494.67,KATL1,84056,Q9BW62,84056
RIPL1_24496.26,RIPL1,353116,Q5EBL4,353116
TRIML_24497.8,TRIML,339976,Q8N9V2,339976
LGSN_24499.36,LGSN,51557,Q5TDP6,51557
DSCR6_24634.1,DSCR6,53820,P57055,53820
TPC6A_24635.25,TPC6A,79090,O75865,79090
Dr1.associated.corepressor_24636.9,Dr1-associated corepressor,10589,Q14919,10589
TCAL5_24637.3,TCAL5,340543,Q5H9L2,340543
LRA25_24638.3,LRA25,23625,Q8N5H3,23625
HEY1_24640.63,HEY1,23462,Q9Y5J3,23462
CLD1_24641.10,CLD1,9076,O95832,9076
FA92A_24642.21,FA92A,137392,A1XBS5,137392
CRYL1_24643.21,CRYL1,51084,Q9Y2S2,51084
BIN3_24645.2,BIN3,55909,Q9NQY0,55909
SPYA_24646.47,SPYA,189,P21549,189
ABEC2_24647.3,ABEC2,10930,Q9Y235,10930
SLBP_24648.8,SLBP,7884,Q14493,7884
NTAQ1_24649.11,NTAQ1,55093,Q96HA8,55093
RTN1_24651.1,RTN1,6252,Q16799,6252
HES6_24654.13,HES6,55502,Q96HZ4,55502
RIPL2_24655.23,RIPL2,196383,Q969X0,196383
SESQ2_24656.6,SESQ2,150368,Q6ICB4,150368
CC115_24658.98,CC115,84317,Q96NT0,84317
DJB13_24659.6,DJB13,374407,P59910,374407
MA6D1_24661.4,MA6D1,79929,Q9H9H5,79929
TTC36_24662.78,TTC36,143941,A6NLP5,143941
INM02_24664.3,INM02,284361,Q5UCC4,284361
REM1_24665.48,REM1,28954,O75628,28954
CT451_24667.27,CT451,541466,Q5HYN5,541466
DNJ5B_24669.12,DNJ5B,85479,Q9UF47,85479
PIHD1_24670.1,PIHD1,55011,Q9NWS0,55011
ASC_24671.15,ASC,29108,Q9ULZ3,29108
EGLN2_24674.22,EGLN2,112398,Q96KS0,112398
MAST4_24675.2,MAST4,375449,O15021,375449
CU059_24676.105,CU059,56683,P57076,56683
RER1_24677.106,RER1,11079,O15258,11079
AVEN_24678.10,AVEN,57099,Q9NQS1,57099
ETV7_24679.35,ETV7,51513,Q9Y603,51513
MIP.3a_2468.62,MIP-3a,6364,P78556,6364
TXND1_24680.51,TXND1,81542,Q9H3N1,81542
SERB_24681.2,SERB,5723,P78330,5723
CYBR1_24682.35,CYBR1,79901,Q53TN4,79901
GIMA7_24683.11,GIMA7,168537,Q8NHV1,168537
GIMA4_24684.7,GIMA4,55303,Q9NUV9,55303
SNX11_24685.12,SNX11,29916,Q9Y5W9,29916
ACBD4_24686.19,ACBD4,79777,Q8NC06,79777
TTPAL_24687.18,TTPAL,79183,Q9BTX7,79183
DMRTB_24688.9,DMRTB,63948,Q96MA1,63948
PTRF_24689.9,PTRF,284119,Q6NZI2,284119
CABP2_24690.1,CABP2,51475,Q9NPB3,51475
CLIC3_24693.5,CLIC3,9022,O95833,9022
NHERF_24694.158,NHERF,9368,O14745,9368
PKHB1_24695.8,PKHB1,58473,Q9UF11,58473
MAGIX_24696.14,MAGIX,79917,Q9H6Y5,79917
ROA0_24697.48,ROA0,10949,Q13151,10949
PRP18_24698.12,PRP18,8559,Q99633,8559
AR6P1_24699.20,AR6P1,23204,Q15041,23204
DTNA_24701.21,DTNA,1837,Q9Y4J8,1837
CC149_24702.31,CC149,91050,Q6ZUS6,91050
COMD5_24704.38,COMD5,28991,Q9GZQ3,28991
CFDP1_24706.73,CFDP1,10428,Q9UEE9,10428
CX038_24707.6,CX038,159013,Q8TB03,159013
DHRS3_24708.7,DHRS3,9249,O75911,9249
MTUS2_24710.1,MTUS2,23281,Q5JR59,23281
SHOX_24711.21,SHOX,6473,O15266,6473
GTPBA_24712.6,GTPBA,85865,A4D1E9,85865
MAGIX_24713.4,MAGIX,79917,Q9H6Y5,79917
PTPA_24717.26,PTPA,5524,Q15257,5524
LR75A_24718.8,LR75A,388341,Q8NAA5,388341
ANR16_24720.10,ANR16,54522,Q6P6B7,54522
GOLP3_24721.17,GOLP3,64083,Q9H4A6,64083
SPIN3_24722.13,SPIN3,169981,Q5JUX0,169981
eIF.2.beta_24723.58,eIF-2-beta,8894,P20042,8894
VP26B_24724.4,VP26B,112936,Q4G0F5,112936
CSN5_24725.4,CSN5,10987,Q92905,10987
SAP_2474.54,SAP,325,P02743,325
SCF.sR_2475.1,SCF sR,3815,P10721,3815
TIMP.3_2480.58,TIMP-3,7078,P35625,7078
ES8L2_24891.54,ES8L2,64787,Q9H6S3,64787
SHP1L_24892.8,SHP1L,81626,Q9BZQ2,81626
FCSD1_24895.25,FCSD1,89848,Q86WN1,89848
MEN1_24896.5,MEN1,4221,O00255,4221
SCFD1_24898.39,SCFD1,23256,Q8WVM8,23256
ES8L1_24899.13,ES8L1,54869,Q8TE68,54869
VP9D1_24900.46,VP9D1,9605,Q9Y2B5,9605
VILI_24901.4,VILI,7429,P09327,7429
GEPH_24902.84,GEPH,10243,Q9NQX3,10243
KLH14_24903.7,KLH14,57565,Q9P2G3,57565
STXB4_24904.121,STXB4,252983,Q6ZWJ1,252983
CX04A_24905.22,CX04A,91966,Q8TE69,91966
MPPA_24907.3,MPPA,23203,Q10713,23203
AMPH_24908.19,AMPH,273,P49418,273
Phospholipase.C.delta.1_24909.40,Phospholipase C-delta-1,5333,P51178,5333
NonO.protein_24910.18,NonO protein,4841,Q15233,4841
LRP_24911.57,LRP,9961,Q14764,9961
WDR26_24912.40,WDR26,80232,Q9H7D7,80232
EZH2_24914.10,EZH2,2146,Q15910,2146
